text;ADR;Organization-Project;primary_category;explanation;max_confidence_value;human;Agreement
'architecture decision record: ansible We were uncertain where, when, or how we would deploy the final version of kosa to the public. For the moment, we have deployed kosa to a very generic Ubuntu environment on DigitalOcean. Ansible offers largely platform-agnostic tooling for operations automation. If and when we move cloud providers, we can take our Ansible scripts with us. We are using Ansible for deployments. Accepted. Deploying Rails on Ansible has been made easier through the use of a Capistrano port called (of course) Ansistrano. Ansible almost definitely ties our server infrastructure to Linux. Ansible has very thorough documentation but a steep learning curve.';0012-use-external-search-service.md;('patshone-manifesto', 'hee-web-blueprint');Implementation;The ADR focuses on a specific implementation detail—merging CloudFormation templates to manage infrastructure as code. It pertains to how the infrastructure is organized and maintained at the code level, which aligns with internal implementation choices rather than high-level architecture or organizational policies.;0,45;;0.0
'h0 Date: 2020-06-08 Pending We sought to determine whether the native out of the box solution provided by the platform nativly would be fit for purpose, or if an external service would be required. For the purpose of the decision, the following were considered as requirements: Flexible facet management Synonym configuration Query suggestions Configurable misspelling tolerance Natual language query support Ability to integrate with external sources We believe that an external search service will be required to provide all of the capabailities that will ultimatly be needed to meet the complex user experience needs. Further to that, using an external search service will better suit the service based architectural model, where the search service will likely need to ultimatly take data from a variety of services such as the LKS document and colberation platform, and in future potentially other services such as Oriel and TIS. Using a managed service such as Algolia provides a good balance between powerful and user friendly functionality and implementation complexity - Algolia was chosen as the basis for the POC in part owing to its comprehensive service offering combined with its prebuilt react component library offering fast and efficient implementation. Bloomreach Search and Merchandising is an interesting option that provides advantages being tightly integrated into the core CMS project, however using it outside of commerce is somewhat unproven in the market. Search as a service options such as Elastic or Azure Cognative search would also be viable candidates (assuming the organisational goal of aligning more functionality to MS's offerings, Azure would likely be recommended ahead of Elasticsearch), and the cost models of these offer likely cost savings, the trade off is more complexity to implement and maintain. An integration with an external search provider brings additional complexity to the architectural stack, and requires additional considerations during development, as well as an additional ongoing cost for procuring the service (if a managed service is selected). The OOTB search provided by the platform nativly is provided by Apache Lucene. This native search option provides standard search options, including free text search and faceted filters. Common query types are supported, such as wildcard searches. Whilst the native search functionality is fine for simple content websites, it lacks some of the enhanced functionality and configurability that the final solution will be asked to provide, including synonym configuration. Bloomreach offer an enhanced managed search service, called 'Search & Merchandising' https://www.bloomreach.com/en/products/search-merchandising This tool provides several additional pieces of functionality including semantic understanding and personalisation. The product however is geared in the first instance to product and merchansing and many of the features are directed towards that usecase. NHS digital are undertaking some work to prove out the use of brSM for this scenario. This is one of the first POCs using this search tool outside of a comemerce functionality. Algolia is a decided search-as-a-service product that provides much of the functionality needed out of the box, including synonym support and filters and facets. It is also highly customisable through the UI, allowing for non-developers to configure, adjust and maintain the search offering. Algolia also offers prebuilt configurable front end components, which make implementing the search experience quick and easily. Microsoft offer a cloud search service called Azure Cognative Search. This is a scalable search-as-a-service product, with a focus on machine learning powered capabilities such as optical character regognition Amazon has long provided a well regarded open source search solution called Elasticsearch, which can be run on premises or on an EC2 or managed search instance. Amazon also offered Kendra, which is a machine learning based search service.';0004-event-contracts.md;('pauldambra', 'visit-plannr');Technology;The ADR primarily discusses the selection and integration of specific third-party libraries (passport.js, passport-saml, node-openid-client) to implement authentication protocols, which falls under technology choices.;0,70;;0.0
"'4. event contracts Date: 2018-05-26 Accepted When returning to development after a break and needing to create events in integration tests it was difficult to identify and construct events. Also, producers that only produce one event type were still able to set an event type so the event contract was very weak. All events will be in a file with a name formatted eventType.event.js where the event type is in past tense and is duplicated in a property of the event with key type. The JS module exported by that file will be one or more functions that return the event E.g. decisionMade.event.js would export a function that takes a decision and returns { type: ""decisionMade"", decision: ""the provided decision"" } This makes event creation less flexible but more discoverable. Further development might lead to a decision that supercedes this one as it has been made in the context of fewer than five events in the domain.'";0008-use-ecmascript-modules.md;('perforce', 'helix-authentication-service');Design;The ADR focuses on the design of a specific data field, including validation strategies at the UI and API levels, which pertains to the logical organization and structure of data handling within the system. It addresses how data is validated and stored, aligning with design considerations related to data modeling and system behavior.;0,75;;0.0
"'use ecmascript modules Status: accepted Deciders: Nathan Fiedler Date: 2021-10-22 Since 2015 JavaScript has had a standard for defining and importing modules, as defined in chapter 15 of the ECMAScript 2015 Language Specification (also known as ECMAScript 6). Node.js introduced support for ECMAScript Modules (ESM) in late 2020, with all major supported versions providing ESM support. Prior to the use of ECMAScript Modules, this application was using the require() functionality provided by Node.js to import modules. While this worked without any issue, the dawn of a major problem appeared on the horizon: third party libraries started using ESM. The old require() module system cannot import modules defined using the new ECMAScript 6 syntax. While ESM is backward compatible, it is not forward compatible. As more libraries migrate to this standard, the application will gradually go stale, using old versions of libraries. As such, switching the entire application to ESM has become a necessity. This application will use ECMAScript Modules because it is the only sensible choice going forward. Using import instead of require() brought about several other changes, including the need to remove the include hack that was used to deal with long import paths. In a similar vein, the use of dotenv had to be managed by the use of import of a new env.js module. The format of the shallow ""modules"" for configuring logging and the internal SAML IdP functionality required a minor change to use the ESM syntax. Of more signifcance is that the single binary build produced by the pkg tool may be unavailable, at least temporarily, as it seems that pkg has several issues with ESM. ECMAScript 2015 Language Specification -- when modules were introduced ECMAScript Modules specification -- latest specification Mozilla guide on modules'";0009-acl-actor-permissions.md;('psu-libraries', 'scholarsphere');Design;The ADR primarily concerns a terminology change within the system's UI and codebase, affecting how components are labeled and presented. It involves decisions about the logical organization and presentation of system elements, which falls under design considerations rather than technology, infrastructure, or other categories.;0,85;;0.0
"'9. access controls and actor permissions Date: 2020-05-19 Accepted Permissions on works and collections can come from two sources: 1) the person who authored the resource, such as the depositor or the proxy depositor; and 2) access controls (ACLs) that grant permissions based on user or group identity. When determining who has access to a given resource, both these sources may need to be consulted. Access controls and depositor or proxy depositor rights are independent from one another. Access controls should not include permissions granted by the Actor-to-resource arrangement, such as edit rights of the depositor. They are a separate form of permission structure and therefore independent of one another. Likewise, permissions that come from a depositor should have no bearing on what access controls may be applied to a resource. There is no ""one stop shop"" for permissions. Access controls will not have ALL the possible permissions for a given resource. It's up to the implementer to check all locations. This can be done via policy objects to determine access to an individual resource, and Solr queries will need to account for both ACL-based permissions and depositor/proxy permissions as well.'";0004-index-from-iiif-manifests.md;('pulibrary', 'dpul');Design;The ADR describes the organization and structuring of background job queues, which pertains to the logical arrangement and decomposition of system components related to background processing. It specifies how tasks are categorized and prioritized, aligning with Design about system structure and task management.;0,85;;0.0
'4. indexing from iiif manifests Date: Archaeological Accepted Objects in Pomegranate need to get their metadata from Figgy, where they are administered. Spotlight ships with a IIIF-based indexer. Figgy already produces IIIF manifests to support viewing the objects. However the metadata bucket doesn't contain rich enough metadata for pomegranate use cases. Figgy (plum, at the time) didn't have an API at the time this decision was made. Manifests were the only way to get data out. Today Figgy has a graphql API. We will use the IIIF Manifests to pull data from Figgy into Pomegranate. The Manifest gives us the manifest url (used for presenting a viewer), the thumbnail iiif image url, and the jsonld metadata location (via seeAlso). We have to do multiple queries for each index action. Efficiency of synchronization is bound to the efficiency of generating manifests Access authorization must be negotiated via headers, where an API might be more straightforward.';0009-unlinked-files.md;('pulibrary', 'figgy');Organizational/Process;The ADR primarily addresses a procedural approach to managing configuration sets during deployment, including versioning, swapping, and cleanup strategies. It focuses on operational workflows and policies rather than system structure, technology selection, or quality attributes.;0,40;;0.0
'8. unlinked files Date: 2020-08-25 / Archaeological Accepted When an ingest fails in the middle of a transaction which is adding files, the FileSets will not get persisted. However, the files will have already been copied to the repository via FileAppender. This results in files in the repository which have no corresponding database record. Fixing this will require development of a transactional disk StorageAdapter which moves files at the end of a metadata transaction. We don't have time to implement a transactional disk StorageAdapter at this time. Accept this situation, document it here, and know we can free up space in the future by looking for unlinked files and deleting them. Extra disk space will be used for files which aren't accessible. If we need space in the future we can find and delete them. If we migrate disk storage to the cloud, we would end up paying for these files, and should implement transactional storage. This might also have implications for our migration strategy - rather than a straight RSync we may want to migrate database-first.';0003-remove-memory-tuning.md;('pulibrary', 'pul_solr');Constraint;The ADR addresses a configuration choice aimed at ensuring compatibility and collaboration across different operating systems, which imposes a mandatory condition on the development environment and workflow. This aligns with the 'Constraint' category, as it reflects a necessary limitation or requirement derived from the context.;0,50;;0.0
'3. remove memory tuning Date: 2018-11-14 Accepted We have seen a number of OutOfMemoryErrors with Solr, mostly related to garbage collection.  Our memory settings include many overrides of the defaults, and it's not clear what they do individually or as a group. These settings have also been in use for several years, and we're not sure if they are still a good match for our hardware and usage. Remove the following memory tuning options from the Java options: * -Xss=256k * -XX:NewRatio=3 * -XX:SurvivorRatio=4 * -XX:TargetSurvivorRatio=90 * -XX:MaxTenuringThreshold=8 * -XX:ConcGCThreads=4 * -XX:ParallelGCThreads=4 * -XX:PretenureSizeThreshold=64m * -XX:CMSInitiatingOccupancyFraction=50 * -XX:CMSMaxAbortablePrecleanTime=6000 Add the following option to disable throwing an OutOfMemoryError if garbage collection takes too long: * -XX:-UseGCOverheadLimit Decrease total memory allocation from 72 GB to 40 GB. Not throwing an OutOfMemoryError may result in Java hanging instead of throwing an error, which would hide the problem instead of notifying us. Removing the memory tuning options may make our garbage collection problems worse, if those parameters are in fact still good. Reducing the memory allocation will trigger garbage collection more frequently, but it should also make it faster at the same time.';0002-configure-line-endings-in-gitattributes.md;('qbit86', 'arborescence');Technology;The ADR primarily discusses the selection and integration of a third-party authentication service (Auth0), including considerations around SDKs, documentation, multi-tenancy, and token management. These are centered on choosing specific technologies and platforms to implement user authentication, making 'Technology' the most appropriate primary category.;0,75;;0.0
'configure line endigs in a .gitattributes file To avoid problems in your diffs, you can configure either IDE or Git to properly handle line endings, so you can collaborate effectively with people who use different operating systems. Cross-platform editing with different native line endings Configuration should apply automatically by cloning repository end_of_line property in an EditorConfig file * text=auto entry in a .gitattributes file Just rely on a developer to set up their IDE Chosen option: “* text=auto entry in a .gitattributes file”, because this doesn't depend on EoL-settings on the developer's machine, even if they are somewhat enforced using the EditorConfig file. https://docs.github.com/en/free-pro-team@latest/github/using-git/configuring-git-to-handle-line-endings https://editorconfig.org All text files have native line endings after check-out without any friction between collaborators on different operating systems.';adr-0014-api-documentation-revisited.md;('raster-foundry', 'raster-foundry');Technology;The ADR primarily discusses replacing existing system components (Airflow modules) with AWS Batch, a specific cloud service. The focus is on selecting and transitioning to a particular technology platform (AWS Batch) and its associated environment (Amazon ECS), which aligns with technology decision-making.;0,70;;0.0
"'api documentation adr The goal isn't to make this super complicated, but give us a basis for building out more full-fledged documentation as the project goes -- beyond just listing API endpoints (see Auth0's docs section as inspiration https://auth0.com/docs). There are javascript libraries that can assist us with parsing the swagger spec, so a good amount of the work will be purely presentational. Of significant import is that the framework that we choose here gives us an opportunity to test out design practices and frameworks before we apply them to our primary applications. Choosing a framework here that we don't plan on using elsewhere would have significant opportunity costs. We also need to consider that Raster Foundry is almost certainly going to be transitioned over to Angular 2, and this is the only chance we will have to learn about Angular 2 before we do so. Additionally, other projects at Azavea that the Raster Foundry team work on, such as Hunchlab, are considering moving from Angular 1.X to Angular 2.X We will write the api documentation as a traditional SPA using Angular 2, using either Webpack or Angular CLI as a build tool. This should allow us to accomplish our flexibility goals while also allowing us to test Angular 2 before we transition the main Raster Foundry app over to it. The biggest cost of the Angular 2 approach is that we have to maintain a second application. None of the static site generator meet our needs, so we'd have to either maintain a fork of a static generator, or maintain a standalone website. Given an option between the two, it makes more sense to do the latter because maintaining two similar applications is less expensive. Angular 2 solves a lot of issues that Angular 1.X has, and allows for higher performance and more maintainable code.  On the other hand, Angular 2 is a younger framework, so some libraries that we rely on in Angular 1.X may not exist, or exist in a less stable form. Examples that come to mind are component frameworks - many of them exist for Angular 1.X, but the selection seems a bit fragmented or less fully featured for Angular 2. With that said, writing custom components isn't the end of the world when your application is structured around creating composable components.  We rarely need all of the features which component libraries offer, and frequently have to hack our way around their limitations. One of our team goals is to test new frameworks on smaller projects before we commit to converting our larger ones. We've established that for Hunchlab and Raster Foundry, we will eventually want to move from Angular 1.X to Angular 2.X. This means that we will incur a spin-up cost for this application that we wouldn't otherwise. Many of the angular design practices we've learned and used will carry forward because they were backported from angular 2 -> 1 over the last 6 months. Very flexible styling Actively maintained, and looks good Delivered assets are a static site Low maintenance Only supports generating API documentation - our requirements are along the lines of a CMS-lite type system, where code and api documentation can live side by side on the same site Forking Spectacle to support additional types of documentation could be possible, but it's written using raw javascript and handlebar templates We know it already, so it would be quick to get up and running Probably ""good enough"" for all intents and purposes. This is the quickest and easiest solution We are planning on eventually moving away from it Angular 1.X libraries are kind of in limbo right now - We've found that quite a few frameworks are no longer being actively maintained, so we have to bring the code into our own repository for maintenance purposes.  New angular libraries will also likely only be written for angular 2+, possibly limiting our options down the road to projects which only update with bugfixes. Apps show greatly degraded performance as they grow more complex, and debugging to figure out what causes it is usually a nightmare Not auto-generated - this is a full fledged framework, so we will be maintaining a second frontend application Lets us experiment with Angular 2 before we move decide to move one of our larger projects over Aligns with team objectives Angular CLI seems pretty solid.  I haven't run into any of the usual webpack issues using it. There is now an RC.0, which means that no project code changes should be required in order to upgrade to v1 Html templates with javascript controllers Maintained by Google: The direction that a central team provides can be valuable We need to learn the framework while we develop Ecosystem is still a bit young compared to Angular 1.X and Ember Need to learn typescript (see next point) Documentation has fallen behind a bit, similar to how angular 1.X documentation has been a problem area for years. Additionally, it can be hard to find the correct information from tutorials etc because search results are polluted with results for Angular 1.X that will never be updated. Additionally, while the typescript documentation seems fine, the ES6 documentation is sorely lacking at this time. Many core concepts have changed from Angular 1.X (services, scope, etc). Maintained by Google: Its success leans heavily on Google's continued support, and Google has a history of discontinuing popular products (Reader, FeedBurner, Blogger, Picnik, Buzz, Wave, etc). It is open-source though, so I'd rate this as being roughly even Not auto-generated - this is a full fledged framework, so we will be maintaining a second frontend application Existing prototype An upgrade roadmap focused on maintainability going forward. LTS releases seem like they would be a boon, and there's excellent tooling and documentation for upgrading applications Good CLI - Angular 2 based theirs off of Embers, but is still working out the kinks. Good ecosystem - well tested modules Handlebars-style html templating. Learning ember - one more framework to keep track of. A mitigating factor for this is that Alex has significant experience working with Ember and could help with onboarding. Probably a better situation than Angular 2. A classic open source project that is maintained by the community. Not auto-generated - this is a full fledged framework, so we will be maintaining a second frontend application'";adr-0021-lab-workspaces.md;('raster-foundry', 'raster-foundry');Other;The ADR primarily focuses on how to measure and track system metrics, which directly relates to system qualities such as observability, monitoring, and performance. It discusses strategies for collecting metrics post-hoc and from external sources, emphasizing system behavior and non-functional aspects.;0,55;;0.0
'lab analysis workflow Our lab interface has been through several iterations After some discussion with Nathan and Eugene, I've concluded that a workflow centered on workspaces, rather than singular analyses makes the most sense, because the design tradeoffs for supporting multiple AST's at the same level that we support exports and sharing aren't worth it. Workflow: * User creates new workspace * User either builds a new analysis from scratch in the workspace, or imports a template to create one * User previews nodes to verify that things are as they should be. User can share preview links, but they will update as the analysis is modified and may not always be completely valid. * User publishes an analysis from the workspace to a new Template. This template version is immutable, and can be relied upon not to change. Production usage of basemaps / imagery should be published as a template because they require explicit exports in order to update. * User makes changes to an analysis, and publishes a new version to the same Template. Users can view tagged versions of the template at will. * User can clone a workspace, which copies all analyses to a new workspace but does not link them otherwise * Templates can be published with various visibility permissions, and future versions of MAML will allow referencing them directly as nodes. This opens up the possibility of black box algorithms, Initially, we started with just Tools. We added ToolRuns once we realized that we needed a way to create copies of tools to adjust the sources we use. The basic workflow: * Browse existing tools, which are manually created through api requests * Create a tool run from the tool * Edits to the tool run generate a new tool run. Tool runs are effectively like exports On the backend and frontend, we now have first class support for MAML, which is a method of translating mathematical expressions into ASTs (tools) Workflow: * Browse tools (now called templates) * Create a tool run from a template (now called analyses) * Modify the tool run instead of generating new tools runs every time * Analysis results can be referenced by a url, which acts as basemap calculated on the fly Easy way to share both analysis results and templates for Other to use Ability to interactively create analyses Ability to preview / share the map generated by any node User point of entry for creating analysis workflows User searches by workspace, not by analysis Contain multiple analyses Allow specifying a default analysis for rendering / sharing Import and export templates Create a new analysis from a node, or add a node to an existing analysis Compare outputs of analyses Migration should create a new workspace for every existing analysis Individual AST's Modified in place, changes effective immediately Not required to be named anymore, but can be linked to a template for easier exports In the future, will be able to reference templates or other analyses using a ToolReferenceNode (probably renamed) Add readonly attrubute to prevent exported analyses from being edited List of immutable AST exports with metadata for versioning / searching UUID id String name String details String description String thumbnailUrl UUID[User] owner UUID[User] createdBy UUID[User] modifiedBy Date createdAt Date modifiedAt UUID[Organization] organization Visiblity visiblity String requirements UUID[license] license Template Category UUID[Template] template UUID[Tag] tag Int: id - auto increment so it's easy to sort by String version UUID[Template] template UUID[Analysis] analysis Date createdAt Date modifiedAt UUID[User] createdBy UUID[User] modifiedBy UUID id String name String description UUID[Analysis] activeAnalysis UUID[Workspace] workspace UUID[Category] category UUID[Workspace] workspace UUID[Tag] tag UUID[Workspace] workspace UUID[Analysis] analysis Date createdAt Date modifiedAt UUID[User] createdBy UUID[User] modifiedBy';0008-keep-styles-with-components.md;('reactioncommerce', 'reaction-component-library');Design;The ADR describes the logic and process for barcode lookup, including cascade retrieval and association with base items, which pertains to the system's logical organization and data handling mechanisms. It details how the system is structured to perform barcode resolution, indicating a focus on system design and data flow rather than technology selection, infrastructure, or organizational processes.;0,85;;0.0
"'8. keep styles with components Date: 2018-05-23 STATUS：accepted 2018-05-22 proposed 2018-05-23 accepted So that developers do not have to think too hard, we want a simple rule about where the styles related to a React component should live. The options are ""always in a separate styles.js file in the same folder"" or ""always in the same file as the React component, above the component"". (This is referring to JSX or styled-components styles, and not CSS/SASS styles.) All styles always live in the same file as the React component, above the component. Pros: Smaller files, easier to read Cons: Overkill for a single style More files for Babel to transform and watchers to watch Extra work for dev (minimal) Pros: Simple and less work for dev Fewer files for Babel to transform and watchers to watch Cons: Larger files, harder to read (but you can code fold in IDE)'";0005-extract-all-partner-operations-into-a-separate-application-intended-for-partners.md;('rubyforgood', 'human-essentials');Technology;The ADR focuses on selecting ArgoCD as a deployment agent, which pertains to choosing a specific technology/tool for deployment automation. The decision is centered around the selection of a deployment platform rather than system structure, organizational process, or other categories.;0,80;;0.0
"'5. extract all partner operations into a separate application intended for partners Date: 2018 Accepted Partner organizations work directly with the families in need. Sometimes they will need to collect PII such as address, names and ages of family members, and other contact information. This data is not necessary for Diaperbase to operate, and there are security concerns about that PII being disclosed should there be a breach. There is also a separation of concerns between the two applications; Diaperbase is inventory management and Partnerbase is effectively a CRM. At this time, we belive that they are different enough in their purposes that they should be separate. A new application, Partnerbase, will be created to handle the CRM aspects. It will communicate over a private API with Diaperbase to handle request fulfillment. Depending on the future features required, this may or may not be the right decision. We now have 2 applications to maintain and there will be duplicated efforts when we have to do updates, as well as a division of labor and domain knowledge. Essentials Banks will not be able to see Partner data, which is both a feature and a liability (since they need some of that for reporting).'";0004-argocd-as-deployment-agent.md;('sa-mw-dach', 'manuela');Design;The ADR discusses the choice of a specific architectural framework (NestJS) for scaffolding, which directly impacts the overall system structure, organization, and pattern application. This decision influences how the system is decomposed and structured, aligning with design-level considerations.;0,85;;0.0
'4. argocd as deployment agent Date: 2019-11-29 Accepted Context 2. Overall context and Container Platform Related 3. Gitops Approach Related 5. Kustomize as templating tool We need a deployment agent to execute the deployment information stored in git. At the time of writing, multiple such tools exist: Razee ArgoCD WeaveWorks Flux ... On 2019-11-14, ArgoCD and WeaveWorks announced to work together to develop ArgoFlux as next-gen GitOps tool. In addition, it is feasible to build an automated deployment of git content to kubernetes via Ansible. ArgoCD since 1) proofs-of-concept and RHTE lab sessions showed it to be easy to use and powerful 2) Red Hat reference architectures seem to be most closely aligned 3) is available today 4) does not require engineering effort Once ArgoFlux becomes available, this decision should be reevaluated once the ArgoCD community converges on ArgoFlux and/or the feature set of ArgoFlux is vastly superior.';0003-create-two-observation-comparators.md;('savioalphonso', 'exercise3-group-6');Organizational/Process;The ADR focuses on creating documentation (README files) for components, which pertains to documenting and providing guidance for system components rather than designing architecture, selecting technologies, or configuring infrastructure. Since 'Documentation Decisions' is not explicitly listed among the provided categories, it aligns most closely with the 'Other' category, which covers decisions that do not fit standard categories. However, given the context, this decision is about documentation practices, which are essential for usability and maintainability.;0,10;;0.0
'3. create two observation comparators Date: 2020-10-07 Accepted Whale observations have a variety of qualities and may require sorting for research purposes. Two distinct sorting methods proposed for sorting these observations will require two unique comparison methods. Implement Comparable<Observation>, create default field compareTo method for ObservationId (long) and nested comparator class for field sightingTime (Date) in Observation. The nested comparator class is the best choice for the program due to its wide availability and reusability in future iterations of the program, versus the one-use nature of anonymous classes and lambda expressions.';0004-add-readme-for-each-component-for-documentation.md;('scheduleonce', 'once-ui');Technology;The ADR explicitly discusses the selection of AWS AMIs (Amazon Machine Images), which pertains directly to the choice of a specific technology platform and image source. The decision focuses on the technology aspect of cloud images rather than system structure, deployment environment, or organizational processes.;0,75;;0.0
'4. add readme for each component for documentation Date: 2018-12-21 Accepted Components should be well documented so that the users of the library will be able to quickly start using the component. For now, we will create a README.md file inside each component folder, adjacent to the code for the component. The readme file should have the same structure and highlight some use cases, code examples and have api reference. Developers can use the components they need quickly without going through too much documentation and without having the experiment too much.';Automation.md;('serverlessmike', 'terraform');Technology;The ADR primarily discusses the choice of storing form submissions in a database, specifically selecting MySQL as the database technology and considering alternatives like MongoDB. The focus is on selecting and implementing a specific technology platform for data storage.;0,80;;0.0
"'2020-08-03 - implement new changelog The current workflow for writing technical changelog is not very suited for a trunk based development and branching process. There are some major issues with the current workflow of using one file with a fixed version number: Unnecessary merge conflicts in the changelog file Uncertainty about the correct release version of the change Differences between the issue state in Jira and the code state To tackle these issues the technique for writing technical changelog and upgrade information, should be changed to a single solution, which is easy to understand and maintain by developers. The changelog and upgrade files for a release should be autogenerated in the build process of the release. Developers should write technical changelog and upgrade information in separate markdown files. From the moment this ADR is accepted, every new changelog entry and upgrade information has to be recorded following the new workflow which is described in the following. For every feature or important code change there has to be a changelog markdown file in /changelog/_unreleased directory which follows the following naming convention: {YYYY-MM-DD}-Meaningful-title-of-the-change.md Example: 2020-08-03-New-CMS-components-for-3D-content.md For simplicity there is a console command which helps you to create new changelog files: bin/console changelog:create [<title>] [options]. For a full list of options just use the --help flag of the command. In the file all necessary changes are documented. The content of the file should always use the template which can be found in the /changelog/_template.md file. You can see a full example in the /changelog/_example.md file for a better understanding. When a new release is build, a new directory /changelog/release-6-x-x-x is created for the release. All changelog files in the /changelog/_unreleased directory are moved to the new release directory, except the files which have the flag meta information, because the changes are still behind a feature flag. After the changelog files are moved to the corresponding release directory the main changelog file /CHANGELOG.md is updated by the build script. In the file a new section for the release is created, with a list of links to each single changelog file of the release. For the list entries the Jira ticket key and the title from the meta information is used. Example:  NEXT-12345 - Implemented cool new feature NEXT-56789 - Refactored an important service ... ``` Also a new UPGRADE-6.x.md file has to be generated, if it is a major release, or the corresponding existing file has to be updated with a new section, if it is a minor release. Other than the main CHANGELOG.md file, the upgrade files always contain the full content of the ""Upgrade Information"" sections of the changelog files. This is important, so that developers can read the upgrade information of a new version as a single document. Of course not every change is worth a changelog file, but in most cases you will see, that it makes totally sense. So there should not be many reasons to not create a changelog file. Here are some rules which can help you: If you just want to get the changes of a specific version or even just a special part of Shopware, you can use a console command to generate the corresponding changelog. bin/console changelog:change [<version>] [options] Use the --help flag of the command to see all possible options. Next to the changelog information it is important to add the necessary meta information about your changes. Here is a detailed description of the meta information: title (Required): Add a meaningful title. It can match the file name. issue (Required): Add the corresponding Jira issue key. Can be the key of a single ticket or the key of an epic. For external contributions this is added by a shopware employee, when there is no corresponding issue in Jira yet. flag: When you are developing a new feature, which is still behind a feature flag, you can add the flag in your changelog file during the development. Changelog files with an active flag will not be considered during a release. If you also do refactoring during the development of the feature which is not hidden behind a flag, create an additional changelog file for the changes of the refactoring. author: This field is optional for shopware employees, but required for all external developers. It can be used to identify the author of code changes, or to display the name in a changelog. author_email: This field is optional for shopware employees, but required for all external developers. author_github (Optional): This is also mainly intended for external developers to get some reputation for the GitHub profile. If you do not fill out some of the fields, please remove them from the file. In the content of the file you add the technical changelog and upgrade information. The content is divided by first class headlines in the five categories: Core API Administration Storefront Upgrade Information In the sections under the headlines you add the corresponding information as list entries (*), except the upgrade information. For each entry you have to use the corresponding keyword at the beginning of each entry: Added Removed Changed Deprecated There should be no entry without one of the listed keywords. This is important to have a good consistency and also should it make you think about a meaningful description of your changes. So for example we do not allow the keyword ""Fixed"" as it leads to poor descriptions. Example: Have a look into the /changelog/_example.md file for some examples. In the section for the upgrade information you add documentation in markdown for each part of your changes. Please use second class headlines in markdown (##) to create new sections inside the upgrade information. You can use the content of /changelog/_template.md file as a start. You are working on a new feature from the roadmap. Therefore you create a changelog file with the issue key of the Jira epic and collect all corresponding changes made for that feature. When the feature is that large, that it can be separated into smaller parts, you should create a file for each separate part. Don't forget to add the feature flag during the development of the feature. You introduced new deprecations or breaking changes? Write a changelog! You have added new database migrations? Write a changelog! You are an external developer? Write a changelog!'";2020-08-03-Implement-New-Changelog.md;('shopware', 'platform');Design;The ADR primarily focuses on the design of the registration process, including how customer groups are managed, URLs are generated, and the flow of customer registration is structured. It details the logical flow and interactions between components, such as the store API route, customer module, and admin interface, which are characteristic of Design related to system structure and behavior.;0,85;;0.0
"'h0 Some mail templates of the core component (Newsletter, Registration, Password Recovery, Order Status mails) depend on storefront Urls to be included in the mails. Those Urls are not available when shopware is used in ""headless"" mode, without the storefront bundle being installed. For some mails (Newsletter subscription, Double Opt-In, Password recovery), the Url was made configurable over the system config and over the settings inside the administration. The default values for those Urls are the ones that the storefront bundle would use. This option does not really scale well as each Url that should be used, needs to be configurable in the administration and this can grow quickly out of hand. Additionally, it is not clear when and where those configs should be used to generate the absolute Urls, as with the BusinessEvent system and the upcoming FlowBuilder, the sending of mails is not necessarily triggered by the same entry point all the times, but different trigger can lead to sending the same mails. There shouldn't be any links generated on PHP-side as that can be hard to override per sales-channel and can not easily be changed by apps, and links should be generated inside the mailTemplates with string concatenation instead of raw_url-twig functions, so the links can still be generated even if the route is not registered in the system. To make generation of urls inside the mail templated easier, we will add a  variable to the twig context, that contains the domain of the current salesChannelContext, of the order in question etc. The URLs we use in the core mail templates become part of the public API, and custom frontends should adhere to theme and provide routes under the same path, or create redirects so that the default URLs work for their frontend implementation. The default urls are: If the custom frontends can't or don't want to use our default URLs they can use the possibility to override the existing mail templates to generate custom URLs. We will deprecate the usage of the system-config configuration values and the events thrown when the links are generated on PHP-side and remove those in the next major version. To be forward compatible we will already pass the necessary data needed for generating the links into the templates, so the urls can be already generated inside the mail templates. Third party clients (like the PWA) should either adhere to our default URLs or add additional mail templates, that generate the correct urls for their client. In addition to that the third party client could extend the core mail template, rather than providing a new one, and then deciding in an IF/ELSE what url needs to be generated based on the salesChannel or domain. The core mail templates work independently from the storefront bundle. The urls listed in this ADR will become public API, so we cannot easily change those URLs, but have to maintain them in a backward compatible manner. To ensure this we will add a unit test, that verifies that in our default templates we don't use any raw_url-functions. Additionally we ensure that the  variable is present by an unit test. As the Urls we use become public API, we will add a documentation article where we document the public Urls and to ensure that the documentation is up do date we will add another unit test.'";2021-09-06-make-core-mail-templates-independent-from-storefront-urls.md;('shopware', 'platform');Design;The ADR primarily discusses the architecture of the scripting system within the application, including how scripts are managed, executed, and integrated into the system. It details the use of Twig as a sandboxed environment, the structure of script events, and the interaction with core objects, which are all aspects of system organization and structure. While there are mentions of technologies (Twig, database, filesystem), the core focus is on how the scripting architecture is designed and integrated, making it a design decision.;0,85;;0.0
